fecha,0,1,2,3,4,5,6,7,8
1,5.877584780810587,18.120760959470637,12.281224152191895,14.424317617866004,9.389578163771713,12.794871794871794,8.491315136476427,12.986765922249791,5.63358147229115
2,5.184427062460268,14.846157484727089,12.884082853431513,13.504771209113482,10.571770337415293,14.59644142338906,9.943720108471066,10.220764453842358,8.247865067149869
3,8.769793054553901,21.79177515106325,12.939008340565627,10.308372754423921,10.772521632365903,11.558603304988177,6.384774970425694,9.123734688250817,8.35141610336271
4,15.992760831122899,18.04349027409372,7.9470601237842615,11.09167771883289,7.6666114058355435,12.202973032714413,6.179818744473916,10.15776967285588,10.717838196286472
5,15.974462365591398,14.737903225806452,9.70766129032258,10.81989247311828,8.891129032258064,10.524193548387096,5.766129032258064,8.595430107526882,14.983198924731184
6,18.63597662448237,9.36541108954902,6.110737921082749,13.066143094878727,6.272978830450095,11.453478407501397,6.471640322215035,11.36414777219375,17.259485937646854
7,22.149054505005562,12.0734149054505,5.457916203188728,12.008157211716723,6.6347793845012975,11.098998887652948,6.6347793845012975,8.886169818316647,15.056729699666295
8,21.906537729715748,10.89910717628758,7.414991133031754,11.219216643350455,6.376606180668307,10.067320882135697,4.8807128974393015,10.110454172580816,17.125053184790342
9,20.976887097576753,11.370229387470767,6.193710504055332,9.065532168980445,7.012738219634771,10.29158580882719,5.274170274170274,10.688908792357068,19.1262377469274
10,13.608792641050705,13.689410947475464,7.547828515570451,9.592575882898462,8.454198131617487,12.987872342711052,6.681293616777488,13.009893332473977,14.42813458942491
11,15.715778474399166,17.833507488679903,10.835945663531872,9.944270289097876,8.007662835249041,12.448624172762104,5.771508185301289,10.431905259491465,9.010797631487288
12,7.918263090676883,19.69554649198698,12.342520496024388,12.588472788695258,7.289169035553908,13.74860956618465,8.857578379269148,10.602727310180036,6.9571128414287475
